id_l,id_r,is_duplicate,title_l,title_r,start_l,start_r,note
GSP:40700,SPF:east-duwamish-work-party-22,yes,East Duwamish Work Party,East Duwamish Work Party,2025-10-18 17:00,2025-10-18 17:00,
GSP:43230,SPR:194367052,no,Forest Restoration,Forest Restoration - Longfellow Creek at Graham Street,2026-01-24 18:00,2026-01-24 18:00,"SPR is giving an error now, but these are different ones. The former is Woodland Park"
GSP:43359,SPR:196748154,yes,Sturtevant Ravine Work Party!,Sturtevant Ravine Work Party!,2026-02-14 17:00,2026-02-14 17:00,
DNDA:9109,GSP:44130,yes,Forest Restoration at EC Hughes,EC Hughes Restoration Event,2026-07-21 16:30,2026-07-21 17:00,
DNDA:9229,GSP:44508,yes,Forest Restoration at Duwamish Head Greenbelt,Duwamish Head Greenbelt Restoration,2026-09-29 17:00,2026-09-29 17:00,
DNDA:7961,SPF:pigeon-point-park-restoration-event-44,yes,Forest Restoration at Pigeon Point Park,Pigeon Point Park Restoration Event,2025-08-30 17:00,2025-08-30 17:00,
SPF:3rd-saturday-forest-restoration-at-jackson-park-trail-21,SPR:179761811,yes,3rd Saturday forest restoration at Jackson Park Trail!,3rd Saturday forest restoration at Jackson Park Trail!,2025-11-15 18:00,2025-11-15 18:00,
DNDA:8363,GSP:42929,yes,Forest Restoration at Pigeon Point Park,Pigeon Point Park Restoration Event,2026-02-28 18:00,2026-02-28 18:00,
GSP:44944,SPR:209131480,no,Preparing for Planting,Prepping for planting One.,2026-10-10 16:30,2026-10-10 17:00,These are different. The SPR one has a GSP link underneath and it links to a different event at a different location
DNDA:9182,SPR:205922408,yes,Forest Restoration at EC Hughes,EC Hughes Restoration Event,2026-08-15 16:30,2026-08-15 16:30,
DNDA:7956,GSP:42060,yes,Forest Restoration at Pigeon Point Park,Pigeon Point Park Restoration Event,2025-08-09 17:00,2025-08-09 17:00,
DNDA:9190,SPR:205922410,yes,Forest Restoration at Greg Davis Park,Greg Davis Park Forest Restoration,2026-08-22 17:00,2026-08-22 16:30,
SPF:carkeek-stars-work-party-18,SPR:188990561,yes,Carkeek STARS Work Party,Carkeek STARS Work Party,2025-10-18 16:00,2025-10-18 16:00,
DNDA:9112,GSP:44126,yes,Forest Restoration in the West Duwamish Greenbelt — EVENT FULL,West Duwamish Greenbelt Restoration Event,2026-07-09 16:30,2026-07-09 16:30,
GSP:43218,SPR:198494499,no,Carkeek STARS Work Party,Work Party,2026-03-21 16:00,2026-03-21 17:00,
DNDA:8368,SPF:holden-forest-restoration-event-5,unsure,Forest Restoration at Webster Pond — EVENT FULL,Holden Forest Restoration Event,2026-02-14 18:00,2026-02-14 18:00,I can't check - SPF expires their old listigns
GSP:42083,SPF:east-duwamish-work-party-21,no,Carkeek STARS Work Party,East Duwamish Work Party,2025-09-20 16:00,2025-09-20 17:00,
